year,circuit,driver,lap_number,lap_time_seconds,compound,tyre_life,is_pit_lap,track_status,lap_time_delta,tyre_age_normalised,relative_position,laps_remaining,compound_encoded,pit_in_next_3_laps
2019,Canada,GAS,36,76.869,HARD,29.0,0,1.0,-0.375,0.7631578947368421,0.45,34,2,0
2019,Canada,GAS,37,77.071,HARD,30.0,0,1.0,-0.17300000000000182,0.7894736842105263,0.45,33,2,0
2019,Canada,GAS,38,76.94,HARD,31.0,0,1.0,-0.30400000000000205,0.8157894736842105,0.45,32,2,0
2019,Canada,GAS,39,76.991,HARD,32.0,0,1.0,-0.2530000000000001,0.8421052631578947,0.45,31,2,0
2019,Canada,GAS,40,77.016,HARD,33.0,0,1.0,-0.22799999999999443,0.868421052631579,0.45,30,2,0
2019,Canada,GAS,41,77.283,HARD,34.0,0,1.0,0.03900000000000148,0.8947368421052632,0.45,29,2,0
2019,Canada,GAS,42,76.674,HARD,35.0,0,1.0,-0.5699999999999932,0.9210526315789473,0.45,28,2,0
2019,Canada,GAS,43,76.367,HARD,36.0,0,1.0,-0.8769999999999953,0.9473684210526315,0.45,27,2,0
2019,Canada,GAS,44,76.981,HARD,37.0,0,1.0,-0.26300000000000523,0.9736842105263158,0.45,26,2,0
2019,Canada,GAS,45,76.926,HARD,38.0,0,1.0,-0.31799999999999784,1.0,0.4,25,2,0
2019,Canada,GAS,46,76.266,HARD,39.0,0,1.0,-0.9779999999999944,1.0263157894736843,0.4,24,2,0
2019,Canada,GAS,47,76.622,HARD,40.0,0,1.0,-0.6219999999999999,1.0526315789473684,0.4,23,2,0
2019,Canada,GAS,48,76.439,HARD,41.0,0,1.0,-0.8050000000000068,1.0789473684210527,0.4,22,2,0
2019,Canada,GAS,49,76.971,HARD,42.0,0,1.0,-0.27299999999999613,1.105263157894737,0.4,21,2,0
2019,Canada,GAS,50,76.318,HARD,43.0,0,1.0,-0.9260000000000019,1.131578947368421,0.4,20,2,0
2019,Canada,GAS,51,76.157,HARD,44.0,0,1.0,-1.0870000000000033,1.1578947368421053,0.4,19,2,0
2019,Canada,GAS,52,76.281,HARD,45.0,0,1.0,-0.9629999999999939,1.1842105263157894,0.4,18,2,0
2019,Canada,GAS,53,77.33,HARD,46.0,0,1.0,0.08599999999999852,1.2105263157894737,0.4,17,2,0
2019,Canada,GAS,54,76.292,HARD,47.0,0,1.0,-0.9519999999999982,1.236842105263158,0.4,16,2,0
2019,Canada,GAS,55,76.359,HARD,48.0,0,1.0,-0.8850000000000051,1.263157894736842,0.4,15,2,0
2019,Canada,GAS,56,76.321,HARD,49.0,0,1.0,-0.9230000000000018,1.2894736842105263,0.4,14,2,0
2019,Canada,GAS,57,76.227,HARD,50.0,0,1.0,-1.016999999999996,1.3157894736842106,0.4,13,2,0
2019,Canada,GAS,58,76.834,HARD,51.0,0,1.0,-0.4099999999999966,1.3421052631578947,0.4,12,2,0
2019,Canada,GAS,59,77.299,HARD,52.0,0,1.0,0.05500000000000682,1.368421052631579,0.4,11,2,0
2019,Canada,GAS,60,77.242,HARD,53.0,0,1.0,-0.001999999999995339,1.394736842105263,0.4,10,2,0
2019,Canada,GAS,61,76.921,HARD,54.0,0,1.0,-0.3229999999999933,1.4210526315789473,0.4,9,2,0
2019,Canada,GAS,62,76.645,HARD,55.0,0,1.0,-0.5990000000000038,1.4473684210526316,0.4,8,2,0
2019,Canada,GAS,63,79.402,HARD,56.0,0,1.0,2.1580000000000013,1.4736842105263157,0.4,7,2,0
2019,Canada,GAS,64,76.948,HARD,57.0,0,1.0,-0.2960000000000065,1.5,0.4,6,2,0
2019,Canada,GAS,65,76.773,HARD,58.0,0,1.0,-0.47100000000000364,1.5,0.4,5,2,0
2019,Canada,GAS,66,77.02,HARD,59.0,0,1.0,-0.22400000000000375,1.5,0.4,4,2,0
2019,Canada,GAS,67,78.087,HARD,60.0,0,1.0,0.8430000000000035,1.5,0.4,3,2,0
2019,Canada,GAS,68,78.239,HARD,61.0,0,1.0,0.9950000000000045,1.5,0.4,2,2,0
2019,Canada,GAS,69,77.134,HARD,62.0,0,1.0,-0.10999999999999943,1.5,0.4,1,2,0
2019,Canada,GIO,1,90.799,HARD,1.0,0,12.0,12.967000000000013,0.02631578947368421,0.65,69,2,0
2019,Canada,GIO,2,80.243,HARD,2.0,0,1.0,2.4110000000000014,0.05263157894736842,0.65,68,2,0
2019,Canada,GIO,3,78.859,HARD,3.0,0,1.0,1.027000000000001,0.07894736842105263,0.6,67,2,0
2019,Canada,GIO,4,78.797,HARD,4.0,0,1.0,0.9650000000000034,0.10526315789473684,0.6,66,2,0
2019,Canada,GIO,5,78.883,HARD,5.0,0,1.0,1.051000000000002,0.13157894736842105,0.6,65,2,0
2019,Canada,GIO,6,80.435,HARD,6.0,0,1.0,2.6030000000000086,0.15789473684210525,0.65,64,2,0
2019,Canada,GIO,7,79.94,HARD,7.0,0,1.0,2.108000000000004,0.18421052631578946,0.6,63,2,0
2019,Canada,GIO,8,79.189,HARD,8.0,0,1.0,1.3569999999999993,0.21052631578947367,0.6,62,2,0
2019,Canada,GIO,9,78.871,HARD,9.0,0,12.0,1.0390000000000015,0.23684210526315788,0.5,61,2,0
2019,Canada,GIO,10,79.424,HARD,10.0,0,2.0,1.592000000000013,0.2631578947368421,0.55,60,2,0
2019,Canada,GIO,11,80.138,HARD,11.0,0,21.0,2.3060000000000116,0.2894736842105263,0.55,59,2,0
2019,Canada,GIO,12,79.202,HARD,12.0,0,12.0,1.3700000000000045,0.3157894736842105,0.5,58,2,0
2019,Canada,GIO,13,78.652,HARD,13.0,0,21.0,0.8200000000000074,0.34210526315789475,0.5,57,2,0
2019,Canada,GIO,14,78.383,HARD,14.0,0,1.0,0.5510000000000019,0.3684210526315789,0.5,56,2,0
2019,Canada,GIO,15,78.262,HARD,15.0,0,1.0,0.4300000000000068,0.39473684210526316,0.5,55,2,0
2019,Canada,GIO,16,78.284,HARD,16.0,0,1.0,0.4520000000000124,0.42105263157894735,0.5,54,2,0
